[ 2021-03-14 18:22:02,984 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rhugar" )
[ 2021-03-14 18:22:03,013 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 18:22:03,024 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 18:22:05,962 ] News query failed: "Unrecognized event news."
[ 2021-03-14 18:26:01,245 ] Asset loading complete
[ 2021-03-14 18:26:48,750 ] News query failed: "Unrecognized event news."
[ 2021-03-14 18:26:52,418 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Saruman" )
[ 2021-03-14 18:26:52,445 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 18:26:52,478 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 18:26:54,074 ] News query failed: "Unrecognized event news."
[ 2021-03-14 18:37:28,062 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 18:37:28,205 ] Disconnected from gameserver
[ 2021-03-14 18:37:33,164 ] News query failed: "Unrecognized event news."
[ 2021-03-14 19:09:57,040 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 19:09:57,256 ] Disconnected from gameserver
[ 2021-03-14 19:11:10,155 ] News query failed: "Unrecognized event news."
[ 2021-03-14 19:11:10,908 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Saruman" )
[ 2021-03-14 19:11:10,922 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:11:10,935 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:11:11,010 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 19:11:11,035 ] Disconnected from gameserver
[ 2021-03-14 19:11:11,843 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 19:29:06,354 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 19:29:08,144 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Saruman" )
[ 2021-03-14 19:29:08,161 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:29:08,175 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:29:09,097 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 19:35:26,258 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 19:35:26,360 ] Disconnected from gameserver
[ 2021-03-14 19:35:26,581 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 19:35:36,806 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 19:35:38,582 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rhugar" )
[ 2021-03-14 19:35:38,593 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:35:38,606 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:35:39,544 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 19:37:51,960 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 19:37:52,064 ] Disconnected from gameserver
[ 2021-03-14 19:37:52,221 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 19:37:54,133 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rhugar" )
[ 2021-03-14 19:37:54,156 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:37:54,172 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:37:54,206 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 19:37:54,221 ] Disconnected from gameserver
[ 2021-03-14 19:37:55,077 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 19:37:55,486 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rhugar" )
[ 2021-03-14 19:37:55,502 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:37:55,513 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:37:55,553 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 19:37:55,562 ] Disconnected from gameserver
[ 2021-03-14 19:37:56,440 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 19:37:56,832 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rhugar" )
[ 2021-03-14 19:37:56,849 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:37:56,867 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:37:56,917 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 19:37:56,936 ] Disconnected from gameserver
[ 2021-03-14 19:37:57,813 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 19:37:58,227 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rhugar" )
[ 2021-03-14 19:37:58,237 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:37:58,249 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:37:58,306 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 19:37:58,325 ] Disconnected from gameserver
[ 2021-03-14 19:37:59,181 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 19:38:00,774 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rhugar" )
[ 2021-03-14 19:38:00,783 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:38:00,800 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:38:01,737 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 19:43:35,078 ] Asset loading complete
[ 2021-03-14 19:43:53,404 ] News query failed: "Unrecognized event news."
[ 2021-03-14 19:43:55,355 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Saruman" )
[ 2021-03-14 19:43:55,359 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:43:55,395 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 19:43:56,513 ] News query failed: "Unrecognized event news."
[ 2021-03-14 20:02:30,618 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 20:02:30,766 ] Disconnected from gameserver
[ 2021-03-14 20:02:36,098 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 20:02:36,229 ] Disconnected from gameserver
[ 2021-03-14 20:02:36,560 ] News query failed: "Unrecognized event news."
